marca,modelo,ano_modelo,ano_fabr,quilometragem,cor,estado,cambio,motor,tipo_combustivel,preco
CHEVROLET,ONIX,2015.0,2015,83000.0,Prata,SP,AUTOMÁTICO,1.4,FLEX,53900.0
CHEVROLET,S10,2014.0,2014,87000.0,Branco,SP,MANUAL,2.4,FLEX,94900.0
CHEVROLET,CRUZE,2019.0,2018,56900.0,Branco,DF,AUTOMÁTICO,1.4,FLEX,94900.0
CHEVROLET,CRUZE,2019.0,2018,49877.0,Preto,SP,AUTOMÁTICO,1.4,FLEX,91800.0
CHEVROLET,CELTA,2015.0,2014,85000.0,Prata,SP,MANUAL,1.0,FLEX,33900.0
CHEVROLET,SILVERADO,2022.0,2022,100.0,Preto,SC,AUTOMÁTICO,3.0,DIESEL,989900.0
CHEVROLET,ONIX,2021.0,2021,25000.0,Cinza,MG,AUTOMÁTICO,1.0,FLEX,92900.0
CHEVROLET,CRUZE,2020.0,2019,12280.0,Azul,SC,AUTOMÁTICO,1.4,FLEX,114900.0
CHEVROLET,S10,2013.0,2012,204000.0,Cinza,SP,AUTOMÁTICO,2.8,DIESEL,119900.0
CHEVROLET,ONIX,2018.0,2017,61000.0,Prata,RJ,MANUAL,1.0,FLEX,52990.0
CHEVROLET,S10,2022.0,2021,22200.0,Branco,SP,MANUAL,2.5,FLEX,146890.0
CHEVROLET,CRUZE,2018.0,2017,28000.0,Vermelho,SP,AUTOMÁTICO,1.4,FLEX,91790.0
CHEVROLET,TRACKER,2022.0,2021,23523.0,Vermelho,SP,AUTOMÁTICO,1.2,FLEX,128690.0
CHEVROLET,ONIX,2021.0,2020,85000.0,Branco,SP,MANUAL,1.0,FLEX,69890.0
CHEVROLET,ONIX,2020.0,2019,85198.0,Branco,RJ,AUTOMÁTICO,1.0,FLEX,75900.0
CHEVROLET,C15,1975.0,1975,100000.0,Azul,SC,MANUAL,4.3,GASOLINA,99900.0
CHEVROLET,ONIX,2021.0,2020,31000.0,Preto,RJ,AUTOMÁTICO,1.0,FLEX,84990.0
CHEVROLET,ONIX,2020.0,2020,117669.0,Branco,SP,AUTOMÁTICO,1.0,FLEX,76900.0
CHEVROLET,OPALA,1973.0,1973,46545.0,Cinza,SP,MANUAL,4.1,GASOLINA,99990.0
CHEVROLET,CRUZE,2013.0,2013,181492.0,Preto,SP,AUTOMÁTICO,1.8,FLEX,57990.0
CHEVROLET,BOLT,2020.0,2019,10957.0,Preto,SP,ELÉTRICO,EV,ELÉTRICO,229990.0
CHEVROLET,TRACKER,2015.0,2015,114446.0,Branco,SP,AUTOMÁTICO,1.8,FLEX,69900.0
CHEVROLET,S10,2021.0,2020,29000.0,Cinza,MG,AUTOMÁTICO,2.8,DIESEL,216900.0
CHEVROLET,ONIX,2023.0,2022,0.0,Preto,SP,MANUAL,1.0,FLEX,90990.0
CHEVROLET,COBALT,2019.0,2018,42000.0,Prata,RJ,AUTOMÁTICO,1.8,FLEX,62990.0
CHEVROLET,JOY,2020.0,2019,53338.0,Branco,RJ,MANUAL,1.0,FLEX,57370.0
CHEVROLET,ONIX,2020.0,2020,47270.0,Branco,SP,AUTOMÁTICO,1.0,FLEX,83900.0
CHEVROLET,ONIX,2021.0,2020,75765.0,Branco,MG,MANUAL,1.0,FLEX,71990.0
CHEVROLET,TRACKER,2022.0,2021,10212.0,Prata,SP,AUTOMÁTICO,1.0,FLEX,117900.0
CHEVROLET,ONIX,2021.0,2021,54517.0,Branco,RS,MANUAL,1.0,FLEX,64900.0
CHEVROLET,ONIX,2015.0,2015,85000.0,Branco,PR,MANUAL,1.0,FLEX,44000.0
CHEVROLET,ONIX,2020.0,2020,24000.0,Vinho,MG,AUTOMÁTICO,1.0,FLEX,87900.0
CHEVROLET,EQUINOX,2019.0,2018,56591.0,Preto,RS,AUTOMÁTICO,2.0,GASOLINA,146990.0
CHEVROLET,S10,2018.0,2017,47397.0,Vermelho,PR,AUTOMÁTICO,2.8,DIESEL,184999.0
CHEVROLET,ONIX,2020.0,2019,37204.0,Prata,SP,MANUAL,1.0,FLEX,51890.0
CHEVROLET,TRAILBLAZER,2023.0,2022,0.0,Cinza,SP,AUTOMÁTICO,2.8,DIESEL,359900.0
CHEVROLET,MONTANA,2017.0,2016,109334.0,Branco,RJ,MANUAL,1.4,FLEX,44900.0
